PLACEKEY,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,PARENT_PLACEKEY,TOP_CATEGORY,SUB_CATEGORY,placekeys_y,store_names_y
222-224@5z4-vdj-qs5,34.510147,-118.628129,32545 Ridge Route Rd,Castaic,CA,91384,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-224@5z4-vdj-qs5,Sunshine Day Camp
222-223@5vh-9sf-7dv,37.623358,-122.13725,4901 Breakwater Ave,San Lorenzo,CA,94545,zzz-222@5vh-9sg-z4v,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@5vh-9sf-7dv,10K on the Bay
222-223@63s-9gs-btv,39.991296,-76.350369,1 Crossland Pass,Millersville,PA,17551,zzw-222@63s-9gs-dy9,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@63s-9gs-btv,Murry Companies
zzw-222@628-g25-xwk,40.577233,-75.534546,3830 Dorney Park Rd,Dorneyville,PA,18104,zzw-222@628-g26-3bk,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@628-g25-xwk,Wildwater King Park Infromation
222-222@5s8-cd6-5zz,44.981117,-93.258256,1 Portland Ave,Minneapolis,MN,55401,zzy-222@5s8-cks-qxq,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5s8-cd6-5zz,Upper St Anthony Falls Lock and Dam
222-228@8fy-8k7-mhq,28.468235,-81.447901,5250 International Dr,Orlando,FL,32819,zzw-228@8fy-8k7-mp9,Amusement Parks and Arcades,Amusement and Theme Parks,222-228@8fy-8k7-mhq,Bowling Orlando
222-227@5vg-9j9-kxq,37.919882,-122.042825,301 N San Carlos Dr,Contra Costa Centre,CA,94598,zzz-222@5vg-9jc-xwk,Amusement Parks and Arcades,Amusement and Theme Parks,222-227@5vg-9j9-kxq,Clubwaka
222-222@8gq-pw4-8sq,29.349093,-81.088601,2099 N Beach St,Ormond Beach,FL,32174,zzz-222@8gq-pyq-pn5,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@8gq-pw4-8sq,Kayaks of Flagler Beach
zzy-228@8m5-hsh-pn5,22.21101,-159.416077,5 2723 Kuhio Hwy,Kilauea,HI,96754,zzy-22b@8m5-hsh-pn5,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,zzy-228@8m5-hsh-pn5,Anaina Hou Community Park
zzy-222@8fy-d6k-9cq,28.356665,-81.56069,Disneys Hollywood Studios Streets of America,Lake Buena Vista,FL,32830,zzw-222@8fy-d6k-7wk,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8fy-d6k-9cq,Meet & Greet with Phineas and Ferb
zzy-222@5pn-bgx-ygk,36.612785,-87.435782,1568 Club Lp,Fort Campbell,TN,42223,zzz-222@5pn-bgp-s89,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5pn-bgx-ygk,Cole Park
zzy-222@5v5-bgc-nnq,40.494558,-121.423588,Lassen Peak Hwy,Shingletown,CA,96088,zzy-222@5v5-bgc-tvz,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5v5-bgc-nnq,Summit Lake North Campground
zzy-222@63s-tb8-b6k,39.375375,-77.425433,Ballenger Creek Trl,Ballenger Creek,MD,21703,zzz-222@63s-t98-wx5,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63s-tb8-b6k,Ballenger Creek Trail
zzw-222@5z4-zx2-3dv,34.008858,-118.497234,380 Santa Monica Pier,Santa Monica,CA,90401,zzz-222@5z4-zx2-47q,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5z4-zx2-3dv,Pacific Park
222-222@5vg-9pf-5vf,37.96652,-121.774031,4701 Lone Tree Way,Antioch,CA,94531,zzz-223@5vg-9pf-7wk,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5vg-9pf-5vf,City of Antioch
zzy-222@5z5-smx-9cq,33.174098,-117.051846,3024 La Honda Dr,Escondido,CA,92027,zzy-223@5z5-smw-ht9,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z5-smx-9cq,Stanley Peak
222-224@62j-sj4-n89,42.348,-71.064572,885 Washington St,Boston,MA,02111,222-223@62j-sj4-n89,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@62j-sj4-n89,Boston China Town Neighborhood Center
zzw-223@5p6-9mw-35z,40.945324,-98.379713,2418 N Webb Rd Ste 0,Grand Island,NE,68803,222-228@5p6-9mw-35z,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-223@5p6-9mw-35z,G I Love To Party
zzy-222@5q6-76s-qvf,39.998466,-105.291595,Gregory Cyn Rd,Boulder,CO,80305,zzz-222@5q6-76s-rhq,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5q6-76s-qvf,Gregory Canyon
222-223@63r-4jt-g49,38.928783,-76.813446,2802 Enterprise Rd,Bowie,MD,20721,222-222@63r-4jt-g49,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@63r-4jt-g49,Enterprise Golf Course
zzy-222@8tr-zt7-2kz,32.223585,-111.096561,W Gates Pass Rd,Tucson,AZ,85745,zzz-229@8tr-ztg-g8v,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8tr-zt7-2kz,Gates Pass
zzw-24z@627-s7k-snq,40.734538,-73.870508,9015 Queens Blvd,Elmhurst,NY,11373,zzy-22b@627-s7k-s89,Amusement Parks and Arcades,Amusement Arcades,zzw-24z@627-s7k-snq,Zone VR
zzy-222@8fz-sc6-3wk,26.396774,-80.135455,2300 Willow Spgs Dr,Boca Raton,FL,33428,228-222@8fz-sc6-4qf,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8fz-sc6-3wk,Broken Sound
223-222@8fc-8pp-tn5,29.570286,-95.142241,404 Woodcombe Dr,Houston,TX,77062,zzy-222@8fc-8pp-tn5,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@8fc-8pp-tn5,Clear Lake City Recreation Center
222-224@8dk-nf9-2zf,27.475461,-82.615533,6415 53rd Ave W,Bradenton,FL,34210,zzw-222@8dk-nfb-85f,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@8dk-nf9-2zf,Bray G T Recreation Complex
222-224@5vg-7fr-hbk,37.805129,-122.257658,568 Bellevue Ave,Oakland,CA,94612,zzw-222@5vg-7ff-tvz,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@5vg-7fr-hbk,San Francisco Bay Blades
zzy-222@5pj-5g9-5cq,38.637353,-90.180985,Biddle St @ N Leonor K Sullivan Blvd,Saint Louis,MO,63102,zzz-222@5pj-5g9-5cq,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5pj-5g9-5cq,North Riverfront Trail
222-222@5z5-qdt-fpv,32.732897,-117.148176,1660 Old Globe Way,San Diego,CA,92101,zzz-222@5z5-qf3-dsq,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5z5-qdt-fpv,Wheel Fun Rentals Balboa Park
zzw-222@63t-xn4-tn5,41.545156,-82.84605,1451 NE Catawba Rd,Port Clinton,OH,43452,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@63t-xn4-tn5,Happy Days Boating
22h-222@8dj-k9q-m49,27.784978,-82.781944,145 Boardwalk Pl E,Madeira Beach,FL,33708,,Amusement Parks and Arcades,Amusement and Theme Parks,22h-222@8dj-k9q-m49,Blue Skies Parasail At Jack's Marina
zzy-222@8dj-dq3-q9f,28.182148,-82.407058,1723 Carpenters Run Blvd,Tampa,FL,33602,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8dj-dq3-q9f,Carpenter's Run Swim & Tennis Club
zzy-222@8gf-dfr-9cq,35.104337,-80.947783,14609 Carowinds Blvd,Charlotte,NC,28273,,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,zzy-222@8gf-dfr-9cq,Carowinds Camp Wilderness
222-223@bp5-zdm-vvf,20.948384,-156.690599,104 Kaanapali Shores Pl,Kaanapali,HI,96761,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-223@bp5-zdm-vvf,Kaanapali Beach Club
222-222@5ny-jr2-rtv,41.262727,-95.79221,20595 McPherson Ave,Council Bluffs,IA,51503,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5ny-jr2-rtv,Metro Paintball Games
