PLACEKEY,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,PARENT_PLACEKEY,TOP_CATEGORY,SUB_CATEGORY,placekeys_y,store_names_y
222-229@8dj-f7h-xqz,28.03875,-82.422763,3000 E Busch Blvd,Tampa,FL,33612,zzw-222@8dj-f7j-6tv,Amusement Parks and Arcades,Amusement and Theme Parks,222-229@8dj-f7h-xqz,The Phoenix
zzw-222@5qv-xmk-8jv,33.076279,-96.875493,4400 Paige Rd,The Colony,TX,75056,zzw-222@5qv-xmk-8y9,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5qv-xmk-8jv,Hawaiian Falls Waterparks
zzw-22n@5z5-389-rhq,34.183369,-118.312418,201 E Magnolia Blvd,Burbank,CA,91502,zzw-24p@5z5-389-rhq,Amusement Parks and Arcades,Amusement Arcades,zzw-22n@5z5-389-rhq,Round One Entertainment
zzy-222@627-zfz-cwk,41.31111,-73.990272,7 Lakes Dr,Bear Mountain,NY,10911,zzy-224@627-zfz-q9f,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@627-zfz-cwk,Bear Mountain Merry Go Round
zzy-223@5z5-9gv-sbk,33.955069,-116.166856,Lost Horse Mine Rd,California,CA,92277,zzy-222@5z6-c66-qmk,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@5z5-9gv-sbk,Lost Horse Mine
zzy-222@5qv-y6v-vxq,33.75683,-96.673502,Rr 2,Pottsboro,TX,75076,zzz-222@5qv-y6w-fpv,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5qv-y6v-vxq,Episcopal Recreation Center
zzy-229@63r-vdt-3h5,38.773941,-77.175396,Springfield Mall,Springfield,VA,22150,zzw-229@63r-vdt-389,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-229@63r-vdt-3h5,Time Out Family Amusement Center
zzy-224@5z4-zwg-kj9,33.958336,-118.451676,6819 Pacific Ave,Playa del Rey,CA,90293,zzz-222@5z4-zws-yn5,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-224@5z4-zwg-kj9,Playa Del Rey Beach Volleyball Courts
zzw-222@8fy-8jr-qcq,28.409223,-81.459865,10700 International Dr,Orlando,FL,32821,zzw-222@8fy-8jr-p5f,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@8fy-8jr-qcq,Mako
zzy-222@5sb-88n-m49,42.130497,-88.047885,1103 N Smith St,Palatine,IL,60067,zzz-222@5sb-88n-m49,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5sb-88n-m49,Palatine Park District
zzy-222@63s-xfq-2rk,40.216059,-76.836703,A Ave Bldg 300,New Cumberland,PA,17070,zzw-222@63s-xfp-bhq,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63s-xfq-2rk,Riverview Golf Course
22b-226@5pv-b7g-xyv,39.781285,-86.044771,973 N Shadeland Ave PMB 168,Indianapolis,IN,46219,227-223@5pv-b7g-xyv,Amusement Parks and Arcades,Amusement and Theme Parks,22b-226@5pv-b7g-xyv,Naptown Roller Derby
229-22h@63m-s3d-rp9,38.422041,-82.266267,500 Mall Rd,Barboursville,WV,25504,229-228@63m-s3d-rp9,Amusement Parks and Arcades,Amusement Arcades,229-22h@63m-s3d-rp9,Fun Time Arcade
zzy-222@5z5-3pk-h89,34.123395,-118.314737,3200 Canyon Dr,Los Angeles,CA,90068,zzz-222@5z5-3pp-bzf,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z5-3pk-h89,Hollywood Sign Hike
zzw-222@8g8-yvf-49z,35.844928,-84.189292,917 McFee Rd,Knoxville,TN,37934,zzz-222@8g8-yvf-49z,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@8g8-yvf-49z,Fort McFee Water Park
222-222@8th-b95-wc5,34.193279,-110.006403,5800 Show Low Lake Rd,Lakeside,AZ,85929,zzz-222@8th-b99-c89,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@8th-b95-wc5,Show Low Lake
222-223@5sb-7x7-qj9,41.851684,-88.069175,485 Winchell Way,Glen Ellyn,IL,60137,zzw-222@5sb-7x7-nyv,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@5sb-7x7-qj9,Village Links Grill
zzz-222@627-sc2-jd9,40.965153,-73.675109,1 Playland Pkwy,Rye,NY,10580,zzw-222@627-sc2-jd9,Amusement Parks and Arcades,Amusement and Theme Parks,zzz-222@627-sc2-jd9,Playland
226-222@8gf-dpf-w8v,35.146262,-80.74248,9129 Monroe Rd Ste 145-150,Charlotte,NC,28270,224-222@8gf-dpf-w8v,Amusement Parks and Arcades,Amusement Arcades,226-222@8gf-dpf-w8v,BounceU
zzy-222@5qv-v2w-2x5,33.041202,-96.500312,3003 Skyview Dr,Wylie,TX,75098,zzw-222@5qv-v23-jjv,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5qv-v2w-2x5,Avalon Park
228-222@8fc-999-8y9,30.128197,-95.450148,536 Sawdust Rd,Spring,TX,77380,228-223@8fc-999-8y9,Amusement Parks and Arcades,Amusement Arcades,228-222@8fc-999-8y9,Pump It Up
zzy-222@8fv-zy9-6tv,26.026915,-80.114747,2401 N Broadwalk,Hollywood,FL,33019,zzz-222@8fv-zy8-gzf,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8fv-zy9-6tv,Hollywood Jet Ski
222-222@5vh-bbd-v4v,37.331341,-122.17881,26030 Torello Ln,Los Altos Hills,CA,94022,zzz-222@5vh-b9r-5cq,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5vh-bbd-v4v,Echo Rails & Trails
zzw-222@5z6-3d6-3qz,33.713324,-118.293376,3601 S Gaffey St,San Pedro,CA,90731,zzz-222@5z6-3df-75z,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5z6-3d6-3qz,San Pedro Youth Hostels
zzw-222@5qv-wy5-r8v,32.943177,-97.03279,2500 Regent Blvd,Dallas,TX,75261,zzw-222@5qv-wy9-pjv,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5qv-wy5-r8v,Dallas Cowboys Football Club
222-22n@5z4-rwr-jgk,33.842818,-117.998456,8039 Beach Blvd,Buena Park,CA,90620,zzw-228@5z4-rwr-gzf,Amusement Parks and Arcades,Amusement and Theme Parks,222-22n@5z4-rwr-jgk,Log Peeler
222-222@5x6-prq-y35,49.259836,-123.06365,2776 Semlin Dr,Vancouver,BC,V5N 4R6,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5x6-prq-y35,Camp Fircom
zzy-222@5z7-sf7-kmk,36.909398,-119.747722,11346 12132 N Friant Rd,Fresno,CA,93730,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z7-sf7-kmk,Copper River Trailhead
222-222@5vg-8n6-grk,38.226345,-122.624661,1100 Petaluma Blvd S,Petaluma,CA,94952,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5vg-8n6-grk,Lottery Ticket Sales
zzw-222@628-xgz-835,41.325271,-73.096534,1 Park Ave,Derby,CT,06418,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@628-xgz-835,International Amusement Distributors
zzy-222@8gf-rhw-rff,35.823891,-82.530017,59 Valley Dr,Mars Hill,NC,28754,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@8gf-rhw-rff,Scenic Wolf Resort
zzy-222@8g6-ypw-73q,34.043215,-84.422572,4240 Clubhouse Dr,Roswell,GA,30075,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8g6-ypw-73q,Loch Highland Clubhouse & Pool
228-226@5z5-2wm-pn5,34.286986,-118.738259,2949 Alamo St,Simi Valley,CA,93063,228-223@5z5-2wm-pn5,RV (Recreational Vehicle) Parks and Recreational Camps,,228-226@5z5-2wm-pn5,Camp Trinity
zzw-223@5v8-nk6-rhq,41.530055,-124.051137,1661 Klamath Beach Blvd,Klamath,CA,95548,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-223@5v8-nk6-rhq,Kamp Klamath RV Park and Campground
222-225@5q6-3xc-7kf,39.714193,-105.212215,18301 W Colfax Ave,Golden,CO,80401,,Amusement Parks and Arcades,Amusement and Theme Parks,222-225@5q6-3xc-7kf,Heritage Square General Information
222-222@5s8-9fq-g49,44.977181,-92.682754,589 County Road UU,Hudson,WI,54016,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5s8-9fq-g49,Hudson Small Equipment & Repair
zzy-225@8gf-f5n-5mk,34.941435,-80.776824,1304 H C Nesbit Park Rd,Waxhaw,NC,28173,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-225@8gf-f5n-5mk,Carolina Thread Trail
zzy-222@5nx-4cq-6tv,42.845734,-97.480119,55256 Ne 121,Crofton,NE,68730,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5nx-4cq-6tv,Lake View Golf Course
zzw-222@5pn-9n8-2zf,36.817417,-87.501533,9503 Eagle Way Byp,Hopkinsville,KY,42240,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5pn-9n8-2zf,Tie Breaker Family Aquatic Center
zzy-223@629-d24-dsq,41.268948,-72.534026,Riverside Dr Apt,Clinton,CT,06413,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@629-d24-dsq,Clinton Dock Master
zzy-222@5q9-sdg-x89,38.537879,-106.174646,16105 Us 50 West,Maysville,CO,81201,,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,zzy-222@5q9-sdg-x89,KOA (Kampgrounds of America)
222-222@627-sj8-w8v,40.875693,-73.539782,1 W End Ave,Oyster Bay,NY,11771,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@627-sj8-w8v,The Waterfront Center
zzw-222@5wg-595-vpv,43.579931,-111.735836,226 Meadow Creek Rd,Ririe,ID,83443,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-222@5wg-595-vpv,Juniper Campground
zzw-222@8fc-b9s-v2k,29.830797,-94.709264,2130 Wallisville Turtle Bayou Rd,Wallisville,TX,77597,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-222@8fc-b9s-v2k,Pecan Grove RV Park
222-222@5v8-3j6-fpv,43.758706,-122.533275,46375 Highway 58,Westfir,OR,97492,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5v8-3j6-fpv,Timpanogas Lake Cabin Shelter
222-223@5x3-t3n-sdv,47.359183,-122.118137,16720 SE 271st St,Covington,WA,98042,,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@5x3-t3n-sdv,Covington Community Center
zzy-224@63m-fd2-g49,37.740566,-84.301707,521 Lancaster Ave # 105,Richmond,KY,40475,222-224@63m-fcz-dn5,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-224@63m-fd2-g49,EKU Colonels Camp
223-249@5yv-j92-p35,36.1508,-115.205592,1717 S Decatur Blvd Ste 46,Las Vegas,NV,89102,,Amusement Parks and Arcades,Amusement and Theme Parks,223-249@5yv-j92-p35,Lv Bucket List Adventures
zzy-222@5z5-34f-mp9,34.243165,-118.098558,Mt Wilson Red Box Rd,La Canada Flintridge,CA,91011,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z5-34f-mp9,San Gabriel Peak
223-222@63s-bk4-5vf,39.537909,-76.111551,1353 Old Post Rd,Havre de Grace,MD,21078,,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@63s-bk4-5vf,Boat Services Unlmtd
zzw-223@5pt-cmp-vs5,36.637445,-93.283423,3326 W 76 Country Blvd,Branson,MO,65616,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-223@5pt-cmp-vs5,Ripley's Entertainment Inc
222-222@8g9-n7q-9zz,35.455076,-83.392461,122 Coopers Creek Rd,Bryson City,NC,28713,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8g9-n7q-9zz,Cooper Creek Campground
223-222@8sz-wgh-hnq,29.706814,-98.129573,565 N Market St,New Braunfels,TX,78130,,RV (Recreational Vehicle) Parks and Recreational Camps,,223-222@8sz-wgh-hnq,Landa Rv Park & Campgrounds
235-223@8m4-6fm-7h5,21.280814,-157.82717,2240 Kuhio Ave,Honolulu,HI,96815,,RV (Recreational Vehicle) Parks and Recreational Camps,,235-223@8m4-6fm-7h5,Vacation Internationale
224-224@5qv-vck-grk,32.865467,-96.573069,2413 Rowlett Rd,Garland,TX,75043,,Amusement Parks and Arcades,Amusement and Theme Parks,224-224@5qv-vck-grk,Boat Rentals
zzy-229@8fy-8kp-d35,28.376448,-81.549386,200 Epcot Center Dr Epcot,Orlando,FL,32821,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-229@8fy-8kp-d35,Innoventions
zzw-222@5v5-dcg-vcq,40.423219,-120.703277,477 050 Eagle Lake Rd,Susanville,CA,96130,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-222@5v5-dcg-vcq,Eagle Lake Campgrounds & Marina
zzw-222@5x2-zqs-xh5,48.513494,-122.609382,1019 Q Ave Ste C,Anacortes,WA,98221,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5x2-zqs-xh5,Cap Sante Boat Haven
22k-222@8gm-ndr-wkz,34.023431,-86.020109,301 N 12th St Ste G1,Gadsden,AL,35901,,Amusement Parks and Arcades,Amusement Arcades,22k-222@8gm-ndr-wkz,Jackpot Jesse's
zzy-222@5vg-qvh-2x5,38.874988,-120.375445,Ice House Rd,Pollock Pines,CA,95726,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5vg-qvh-2x5,Sunset Campgroud
zzy-22b@627-wc7-m8v,40.714867,-74.01123,269 Greenwich St,New York,NY,10007,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-22b@627-wc7-m8v,Bikes of Manhattan
222-225@5s8-cd5-syv,45.031084,-93.261175,1301 2nd Ave S,Minneapolis,MN,55403,,Amusement Parks and Arcades,Amusement and Theme Parks,222-225@5s8-cd5-syv,North Star Roller Girls
223-222@5wb-rns-4sq,46.23847,-119.306133,1294 White Bluffs St,Richland,WA,99352,,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@5wb-rns-4sq,Badger Mountain Trails
zzy-225@5yx-9wx-49z,38.192432,-119.995399,Pinecrest Lake Rd Ste 1,Pinecrest,CA,95364,zzy-222@5yx-gvz-835,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-225@5yx-9wx-49z,Cascade Creek Campgrounds
222-222@8gf-n2c-3bk,35.751822,-82.221027,50 Black Mountain Campground Rd,Burnsville,NC,28714,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8gf-n2c-3bk,Black Mountain Campground
225-222@628-swh-2tv,39.968218,-74.11413,1423 Bay Ave,Toms River,NJ,08753,,Amusement Parks and Arcades,Amusement and Theme Parks,225-222@628-swh-2tv,Hobby Lobby Marine
23r-222@5vg-7qj-wx5,37.870554,-122.260604,340 Strawberry Canyon Ctr,Berkeley,CA,94720,,Amusement Parks and Arcades,Amusement and Theme Parks,23r-222@5vg-7qj-wx5,Cal Softball
zzy-222@63v-4vd-syv,42.61353,-83.32538,2093 Orchard Lake Rd,West Bloomfield,MI,48323,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63v-4vd-syv,Bloomfield Beach & Boat
zzy-222@3bb-v28-3bk,60.340676,-149.369898,Scott Way,Bear Creek,AK,99664,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@3bb-v28-3bk,Lost Lake Trail
zzy-227@5pt-cj7-yy9,36.623039,-93.21557,8 Downing,Hollister,MO,65616,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-227@5pt-cj7-yy9,Downing Street Antiques
222-222@8dg-g5r-bx5,26.423136,-81.905922,6200 Estero Blvd,Fort Myers Beach,FL,33931,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8dg-g5r-bx5,Outrigger Beach Resort
222-222@8fy-6pz-kmk,27.275832,-80.287531,3703 SE Jennings Rd,Port St Lucie,FL,34952,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8fy-6pz-kmk,Port St Lucie RV Resort
zzy-222@62k-67y-5vf,42.043677,-70.107434,174 Shore Rd,North Truro,MA,02652,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@62k-67y-5vf,Pilgrim Beach Village
zzy-222@63v-byz-9xq,41.184781,-81.365834,784 Judson Rd,Kent,OH,44240,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63v-byz-9xq,Franklin Connector
zzy-222@5qc-xmc-xbk,40.626336,-111.876342,213 E 7660 S,Midvale,UT,84047,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5qc-xmc-xbk,Jordan and SLC Canal Midvale
222-222@5pw-gkj-h3q,41.22046,-86.58052,5837 S State Road 10,Bass Lake,IN,46534,zzz-222@5pw-gkj-fj9,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5pw-gkj-h3q,Bass Lake Beach and Campground
222-224@8gc-g6d-tn5,33.496777,-80.466731,401 Bass Dr,Santee,SC,29142,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-224@8gc-g6d-tn5,Wyndham Vacation Resort
222-222@5yx-6tm-zzz,37.638202,-118.964303,449 Sierra Manor Rd Unit 15,Mammoth Lakes,CA,93546,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5yx-6tm-zzz,Mammoth Lakes Condo
zzy-222@63d-6zk-hh5,40.45371,-79.982932,Lockwall One Marina,Pittsburgh,PA,15222,,"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",zzy-222@63d-6zk-hh5,Pittsburgh Pontoons
222-222@5x6-k23-wp9,49.252843,-123.012725,3550 Kalyk Ave,Burnaby,BC,V5G 3B2,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5x6-k23-wp9,Vacation Rental By Owner
zzy-223@5yv-gwv-rp9,35.970284,-114.852129,1495 Nevada Hwy,Boulder City,NV,89015,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@5yv-gwv-rp9,Boulder Boats
zzy-222@63j-xgj-zmk,39.950151,-83.000525,569 S Front St,Columbus,OH,43215,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63j-xgj-zmk,CoGo Station
zzy-222@8fy-4h7-3t9,27.137968,-80.888984,1033 Hunter Rd,Buckhead Ridge,FL,34974,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8fy-4h7-3t9,Creative Craftman
223-222@5qw-f2n-4gk,32.757623,-97.724274,2505 Fort Worth Hwy,Weatherford,TX,76087,,RV (Recreational Vehicle) Parks and Recreational Camps,,223-222@5qw-f2n-4gk,Green Valley Park
222-222@628-pnn-xdv,39.90663,-74.975067,1814 Marlton Pike E,Cherry Hill,NJ,08003,,Amusement Parks and Arcades,Amusement Arcades,222-222@628-pnn-xdv,GameTime On Wheels
224-222@5xd-xz8-xwk,44.970223,-124.011813,1452 NE 6th Dr,Lincoln City,OR,97367,zzz-222@5xd-xv8-jsq,RV (Recreational Vehicle) Parks and Recreational Camps,,224-222@5xd-xz8-xwk,Devil's Lake State Recreation Campground
228-222@5xc-k7j-zcq,45.677228,-122.657928,7603 NE 13th Ave,Hazel Dell,WA,98665,,RV (Recreational Vehicle) Parks and Recreational Camps,,228-222@5xc-k7j-zcq,Vancouver RV Park
222-223@5s8-c9k-8d9,44.924926,-92.986881,601 Century Ave S,Maplewood,MN,55119,,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@5s8-c9k-8d9,The Ponds at Battle Creek
222-222@5s6-kxq-qmk,43.857594,-84.902849,2800 W Ludington Dr,Farwell,MI,48622,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5s6-kxq-qmk,Farwell Motorsports
225-222@5yv-hmq-6p9,36.137213,-115.284768,3000 Waterside Cir,Las Vegas,NV,89117,,Amusement Parks and Arcades,Amusement and Theme Parks,225-222@5yv-hmq-6p9,Psychic OF The Lakes
222-223@62m-kvh-33q,44.170267,-71.68886,260 Tramway Dr,Franconia,NH,03580,222-224@62m-kvh-33q,RV (Recreational Vehicle) Parks and Recreational Camps,,222-223@62m-kvh-33q,Cannon Mountain Aerial Tramway
222-222@8gf-rmv-7kf,35.484873,-82.62545,375 Wesley Branch Rd,Asheville,NC,28806,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8gf-rmv-7kf,Pisgah Glamping
zzy-222@5yx-6bp-q75,37.769302,-119.119957,Nevada St Silver Meadows Ln,June Lake,CA,93529,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5yx-6bp-q75,Silver Lake
224-222@8dj-f84-qxq,27.991245,-82.508328,3916 W South Ave,Tampa,FL,33614,,Amusement Parks and Arcades,Amusement and Theme Parks,224-222@8dj-f84-qxq,Boat Doctor
222-223@665-d78-b6k,43.958,-77.310278,43 Bass Lane,Bloomfield,ON,K0K 1G0,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-223@665-d78-b6k,West Lake Cottages
293-222@8dj-n4f-hh5,27.703633,-82.323093,16881 Lagoon Shore Blvd,Wimauma,FL,33598,,Amusement Parks and Arcades,Amusement and Theme Parks,293-222@8dj-n4f-hh5,Southshore Bay Metro Lagoons
zzy-223@8fy-4h8-dd9,27.194497,-80.838296,900 Florida 78,Okeechobee,FL,34974,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@8fy-4h8-dd9,Lake Okeechobee North Pier
223-222@5s4-58r-gc5,44.463605,-88.089492,999 Ashwaubenon St,Green Bay,WI,54304,,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@5s4-58r-gc5,Fusion Athletics
223-222@62k-n6f-fmk,41.372266,-72.051451,515 Gold Star Hwy,Groton,CT,06340,,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@62k-n6f-fmk,Four Seasons Golf
zzw-222@8fc-j5r-5zz,30.520613,-96.214234,19191 State Highway 6 S,College Station,TX,77845,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-222@8fc-j5r-5zz,St Nick's Green Tiny Cabin Village and Rv Campground
222-225@8fw-3b9-cdv,26.097862,-80.170361,1915 SW 21st Ave,Fort Lauderdale,FL,33312,,Amusement Parks and Arcades,Amusement and Theme Parks,222-225@8fw-3b9-cdv,Carrara Performance Marine Center
223-222@3vs-mpp-f75,56.716743,-111.346251,8124 Fraser Ave,Fort Mcmurray,AB,T9H 1W6,,RV (Recreational Vehicle) Parks and Recreational Camps,,223-222@3vs-mpp-f75,Indian Head Camp Adventures
222-222@5r5-xxx-649,38.643965,-95.685785,23313 S US Highway 75,Lyndon,KS,66451,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5r5-xxx-649,Crossroads RV Park & Campground
224-222@63j-32j-8jv,39.857395,-86.010921,8950 Otis Ave,Lawrence,IN,46216,,Amusement Parks and Arcades,Amusement and Theme Parks,224-222@63j-32j-8jv,Lawrence Parks and Recreation
zzy-222@8dj-swn-mzf,29.14838,-83.031916,12293 State Rd 24,Cedar Key,FL,32625,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8dj-swn-mzf,Cedar Key Paddling
222-222@8fc-596-brk,31.974374,-95.195519,220 County Road 4208,Jacksonville,TX,75766,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8fc-596-brk,Shady Pines RV Park
22b-222@627-xdj-7nq,41.139649,-73.263514,100 Thorpe St,Fairfield,CT,06824,,Amusement Parks and Arcades,Amusement and Theme Parks,22b-222@627-xdj-7nq,United Amusements & Vending Company
zzy-222@8g9-ff4-xnq,35.792414,-83.534677,Dollywood,Pigeon Forge,TN,37863,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8g9-ff4-xnq,Dollywood
222-224@8fy-y3g-wff,28.276238,-80.693149,4657 US Highway 1,Rockledge,FL,32955,,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@8fy-y3g-wff,New Palace Arcade
zzy-228@8dg-7rv-jgk,25.849449,-81.384173,901 S Copeland Ave,Everglades,FL,34139,,"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",zzy-228@8dg-7rv-jgk,Naples Fishing Adventures
zzy-226@5z5-35m-9s5,34.17029,-118.044239,Santa Anita Canyon Rd Chantry Flat,Sierra Madre,CA,91025,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-226@5z5-35m-9s5,Hoegee's Loop Trail
224-222@8gq-8sj-gzf,28.862836,-82.354102,130 N Florida Ave,Inverness,FL,34453,,RV (Recreational Vehicle) Parks and Recreational Camps,,224-222@8gq-8sj-gzf,Lakeside Vacations
zzy-222@5p8-ts9-v9f,46.84956,-96.780497,1905 Roger Maris Dr S,Fargo,ND,58103,zzz-222@5p8-ts9-swk,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5p8-ts9-v9f,Lindenwood Campground Info Center
zzy-222@5q6-2wk-ct9,40.009977,-105.571133,Roosevelt National Forest County Rd 116,Nederland,CO,80466,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5q6-2wk-ct9,Rainbow Lakes Campground
228-222@8gf-t9s-qj9,35.627827,-82.1809,91 Catawba Ave,Old Fort,NC,28762,,RV (Recreational Vehicle) Parks and Recreational Camps,,228-222@8gf-t9s-qj9,Blue Ridge Travelers
222-222@3x5-4sb-73q,47.675628,-117.248314,11624 E Montgomery Dr,Spokane Valley,WA,99206,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@3x5-4sb-73q,The Boat Shop of Spokane
22d-222@8fc-9p3-grk,29.879611,-95.405308,8200 Berwyn Dr,Houston,TX,77037,,Amusement Parks and Arcades,Amusement and Theme Parks,22d-222@8fc-9p3-grk,Mike's Pump & Seed Shop
zzy-222@5z4-pyf-skf,34.330216,-117.267464,17891 California # 173,Hesperia,CA,92345,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z4-pyf-skf,Pacific Crest Trail Section 7
222-22n@5z4-rvr-68v,33.660067,-117.679227,100 Civic Center Dr,Lake Forest,CA,92630,,Amusement Parks and Arcades,Amusement and Theme Parks,222-22n@5z4-rvr-68v,Lake Forest Clubhouse
zzy-223@628-t9w-5pv,40.098179,-74.313727,County Rd N # 537,Jackson,NJ,08527,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@628-t9w-5pv,Frontier Construction
22f-222@5qw-jhp-26k,32.936532,-97.542963,11470 Fm 730 N,Azle,TX,76020,,Amusement Parks and Arcades,Amusement and Theme Parks,22f-222@5qw-jhp-26k,Eagle Mountain Auxillary Clb
zzy-222@5xc-nkf-cnq,45.680647,-121.863803,NE Herman Creek Ln,Cascade Locks,OR,97014,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5xc-nkf-cnq,Herman Creek Falls
zzy-22c@bp4-9t5-jy9,19.639783,-155.993065,75-5719 Alii Dr,Kailua Kona,HI,96740,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-22c@bp4-9t5-jy9,Kona Plaza Vacation Rental Condo
22b-227@65w-r3n-nyv,45.413763,-74.026404,25 Boul De La Cité-Des-Jeunes,Vaudreuil-Dorion,QC,J7V 0N3,,Amusement Parks and Arcades,Amusement and Theme Parks,22b-227@65w-r3n-nyv,Woohoo
226-222@5pj-pxn-r8v,38.273264,-91.102646,74 Highway W,Sullivan,MO,63080,,RV (Recreational Vehicle) Parks and Recreational Camps,,226-222@5pj-pxn-r8v,Meramec Campground
zzy-222@5x2-nsx-wtv,48.072315,-121.688873,Mountain Loop Hwy,Snohomish,WA,98252,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5x2-nsx-wtv,Mount Dickerman
