County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Elbert County,0.9373,0.8466,0.7474,0.8158,0.9224
Emanuel County,0.9192,0.9586,0.7961,0.8101,0.9494
Evans County,0.9634,0.9796,0.8225,0.8317,0.9784
Fannin County,0.8641,0.6745,0.1457,0.2838,0.6172
Fayette County,0.1317,0.5539,0.7989,0.0471,0.1686
Floyd County,0.8336,0.8842,0.6685,0.964,0.9284
Forsyth County,0.0687,0.3067,0.7127,0.0251,0.07
Franklin County,0.931,0.7696,0.4948,0.5886,0.8314
Fulton County,0.5571,0.2278,0.9259,0.8501,0.6599
Gilmer County,0.5218,0.8307,0.4445,0.3245,0.545
Glascock County,0.6211,0.2017,0.377,0.9615,0.6621
Glynn County,0.7191,0.7095,0.7448,0.714,0.7744
Gordon County,0.7875,0.7477,0.5924,0.482,0.7318
Grady County,0.9443,0.9933,0.805,0.5157,0.944
Greene County,0.7086,0.4251,0.7964,0.1425,0.5081
Gwinnett County,0.6834,0.6965,0.9453,0.2485,0.6433
Habersham County,0.7136,0.6376,0.6029,0.6853,0.728
Hall County,0.7897,0.664,0.7941,0.7416,0.8136
Hancock County,0.9806,0.6828,0.9733,0.9345,0.9666
Haralson County,0.5708,0.2332,0.2914,0.1718,0.3089
Harris County,0.1982,0.0878,0.5969,0.0197,0.0675
Hart County,0.6748,0.5323,0.6166,0.9119,0.7681
Heard County,0.7709,0.9357,0.4496,0.1444,0.6459
Henry County,0.4817,0.5536,0.9348,0.071,0.4018
Houston County,0.4139,0.6277,0.8447,0.286,0.4887
Irwin County,0.9456,0.231,0.6949,0.8342,0.8282
Jackson County,0.3996,0.5017,0.5476,0.1438,0.3264
Jasper County,0.7432,0.6618,0.6115,0.1397,0.5492
Jeff Davis County,0.8603,0.9672,0.672,0.602,0.8785
Jefferson County,0.8985,0.93,0.9115,0.902,0.9583
Jenkins County,0.9109,0.5791,0.8151,0.6532,0.8352
Johnson County,0.9201,0.657,0.7693,0.9723,0.9322
Jones County,0.3802,0.2494,0.6624,0.3729,0.3675
Lamar County,0.5931,0.063,0.7146,0.3703,0.4092
Lanier County,0.8457,0.4623,0.7127,0.7805,0.8011
Laurens County,0.9284,0.9147,0.8066,0.6332,0.9014
Lee County,0.1575,0.5046,0.6847,0.2415,0.2606
Liberty County,0.8167,0.8431,0.9322,0.86,0.9007
Lincoln County,0.6227,0.6529,0.6993,0.2272,0.5488
Long County,0.8298,0.9233,0.8225,0.7267,0.8851
Lowndes County,0.8753,0.4655,0.8591,0.9192,0.8702
Lumpkin County,0.7728,0.0121,0.2914,0.4057,0.3608
McDuffie County,0.7353,0.5002,0.854,0.4076,0.6567
McIntosh County,0.9112,0.3287,0.756,0.3952,0.7098
Macon County,0.9994,0.7305,0.9494,0.9147,0.9866
Madison County,0.9338,0.7251,0.5383,0.2622,0.7423
Marion County,0.8072,0.9548,0.8008,0.7203,0.8877
Meriwether County,0.9434,0.706,0.8139,0.8002,0.9074
Miller County,0.9462,0.8285,0.7105,0.9189,0.945
Mitchell County,0.9914,0.9316,0.8883,0.924,0.9914
Monroe County,0.3964,0.1031,0.6389,0.4168,0.329
Montgomery County,0.8858,0.5756,0.7191,0.4518,0.7547
Morgan County,0.231,0.3131,0.6332,0.2813,0.266
Murray County,0.7852,0.6061,0.525,0.4909,0.6847
Muscogee County,0.9227,0.8705,0.9259,0.8581,0.9446
Newton County,0.8059,0.7483,0.9084,0.1311,0.6577
Oconee County,0.0299,0.2475,0.4741,0.0035,0.0137
Oglethorpe County,0.4846,0.3936,0.615,0.3993,0.4645
Paulding County,0.2603,0.3385,0.7165,0.0118,0.1429
Peach County,0.8584,0.7171,0.8925,0.8202,0.8772
Pickens County,0.489,0.4505,0.1753,0.2256,0.3392
Pierce County,0.5062,0.2374,0.4588,0.1651,0.3051
Pike County,0.3484,0.0204,0.3847,0.0293,0.0665
Polk County,0.9023,0.931,0.6567,0.3688,0.8285
Pulaski County,0.8126,0.7127,0.8164,0.9971,0.9376
Putnam County,0.538,0.6211,0.7191,0.4248,0.5679
Quitman County,0.9125,0.5466,0.9084,0.5625,0.8202
Rabun County,0.5784,0.3735,0.3503,0.328,0.441
Randolph County,0.9863,0.853,0.9577,0.9532,0.9882
Richmond County,0.9513,0.7324,0.9494,0.9061,0.9513
Rockdale County,0.8536,0.7751,0.9695,0.3,0.777
Schley County,0.8081,0.2459,0.6013,0.1626,0.4973
Screven County,0.7471,0.4321,0.8279,0.5781,0.699
Seminole County,0.903,0.8552,0.7626,0.693,0.8813
Spalding County,0.9278,0.7553,0.818,0.4085,0.8206
Stephens County,0.8708,0.826,0.5094,0.4855,0.7836
Stewart County,0.9395,0.8126,0.9803,0.9717,0.9736
Sumter County,0.9647,0.6713,0.923,0.9596,0.9631
Talbot County,0.8731,0.2463,0.9176,0.4324,0.6923
Taliaferro County,0.7098,0.6892,0.9418,0.3732,0.692
Tattnall County,0.9313,0.7219,0.819,0.9217,0.9287
Taylor County,0.9873,0.7381,0.8021,0.8339,0.9555
Telfair County,0.7273,0.9978,0.8867,0.9841,0.9765
Terrell County,0.9885,0.6853,0.9399,0.9704,0.9809
Thomas County,0.8966,0.9408,0.805,0.2243,0.8158
Tift County,0.8193,0.7388,0.8428,0.8727,0.8759
Toombs County,0.9752,0.9777,0.7989,0.8743,0.9857
Towns County,0.7607,0.2141,0.119,0.6911,0.5622
Treutlen County,0.9943,0.8161,0.714,0.685,0.9389
Troup County,0.8145,0.8613,0.8304,0.896,0.9023
Turner County,0.9911,0.9768,0.8428,0.5581,0.9675
Twiggs County,0.5625,0.6395,0.8304,0.566,0.6538
Union County,0.448,0.3506,0.1572,0.7986,0.4932
Upson County,0.7938,0.4642,0.7066,0.378,0.6468
Walker County,0.8215,0.6624,0.2914,0.4776,0.6796
Walton County,0.6656,0.4432,0.6503,0.0598,0.4095
Ware County,0.9198,0.804,0.756,0.9825,0.9596
Warren County,0.7836,0.8158,0.9259,0.5418,0.8123
Washington County,0.8734,0.6573,0.9103,0.9485,0.9115
Wayne County,0.9558,0.8473,0.658,0.8896,0.9434
Webster County,0.9984,0.4305,0.9259,0.3035,0.8447
Wheeler County,0.9653,0.0038,0.8263,0.9796,0.7716
White County,0.4009,0.2195,0.2692,0.5049,0.3455
Whitfield County,0.8766,0.8266,0.8139,0.7668,0.8836
Wilcox County,0.8501,0.6262,0.7894,0.7044,0.8212
Wilkes County,0.7954,0.5606,0.8632,0.1594,0.6083
Wilkinson County,0.8228,0.8234,0.8279,0.412,0.784
Worth County,0.938,0.8816,0.7019,0.4585,0.8571
Hawaii County,0.4502,0.7894,0.9602,0.4881,0.636
Honolulu County,0.2307,0.2638,0.9854,0.957,0.5708
Kalawao County,0.0983,0.0614,0.9723,0.4044,0.1871
Kauai County,0.2367,0.3446,0.9625,0.4566,0.3964
Maui County,0.2918,0.4003,0.9605,0.6032,0.4938
Ada County,0.1559,0.161,0.4779,0.3767,0.1931
Adams County,0.6268,0.1549,0.2959,0.0175,0.2017
Bannock County,0.4403,0.4337,0.489,0.6125,0.4995
Bear Lake County,0.2361,0.7105,0.182,0.0821,0.2024
Benewah County,0.8123,0.6955,0.4588,0.3618,0.6717
Bingham County,0.5517,0.7423,0.6249,0.2841,0.5469
Blaine County,0.2523,0.6462,0.6516,0.385,0.4025
Boise County,0.1578,0.1292,0.3961,0.1346,0.1075
Bonner County,0.4655,0.3318,0.2692,0.4954,0.412
Bonneville County,0.4101,0.5915,0.504,0.3703,0.4473
Boundary County,0.657,0.5199,0.3388,0.3067,0.5037
Butte County,0.5186,0.9959,0.328,0.4267,0.7009
Camas County,0.5348,0.3824,0.5406,0.0907,0.3271
Canyon County,0.5647,0.7311,0.6885,0.4623,0.6217
Caribou County,0.2332,0.0512,0.3118,0.2039,0.1231
Cassia County,0.5103,0.5367,0.6971,0.5208,0.56
Clark County,0.8206,0.2068,0.8829,0.1607,0.5412
Clearwater County,0.4709,0.5272,0.3388,0.8349,0.5912
Custer County,0.4556,0.434,0.3166,0.3016,0.3713
Elmore County,0.8804,0.6745,0.6538,0.6503,0.8155
Franklin County,0.3035,0.1002,0.2879,0.0627,0.1101
Fremont County,0.475,0.8002,0.4658,0.4333,0.5504
Gem County,0.3054,0.9815,0.4356,0.5657,0.6153
Gooding County,0.7477,0.8686,0.7165,0.6408,0.8059
Idaho County,0.5915,0.5593,0.2816,0.4489,0.5199
Jefferson County,0.1699,0.2313,0.4085,0.098,0.1212
Jerome County,0.7057,0.6666,0.8005,0.1801,0.5826
Kootenai County,0.3544,0.2071,0.3675,0.322,0.2746
Latah County,0.4518,0.0035,0.3847,0.8097,0.2825
Lemhi County,0.3579,0.5555,0.1985,0.5212,0.4073
Lewis County,0.7261,0.9217,0.5183,0.3557,0.7146
Lincoln County,0.7738,0.7146,0.7359,0.2784,0.6742
Madison County,0.7264,0.0016,0.4057,0.8657,0.4318
Minidoka County,0.6118,0.5931,0.7725,0.3913,0.5978
Nez Perce County,0.4378,0.5565,0.4018,0.8333,0.5892
Oneida County,0.1149,0.4814,0.182,0.0395,0.0792
Owyhee County,0.5892,0.9828,0.6872,0.3968,0.7432
Payette County,0.5689,0.9271,0.5927,0.4197,0.6713
Power County,0.7747,0.8616,0.776,0.3926,0.762
Shoshone County,0.8416,0.7359,0.3166,0.5877,0.7493
Teton County,0.4041,0.0932,0.5294,0.1266,0.2052
Twin Falls County,0.6185,0.6405,0.5854,0.3837,0.5756
Valley County,0.482,0.043,0.0025,0.1196,0.1365
Washington County,0.8186,0.9987,0.5501,0.6577,0.9093
Adams County,0.1343,0.4849,0.2628,0.6481,0.2965
Alexander County,0.9052,0.8521,0.7423,0.7509,0.8941
Bond County,0.3159,0.2167,0.3888,0.9736,0.5253
Boone County,0.5189,0.6465,0.658,0.174,0.4655
Brown County,0.2469,0.2199,0.6013,0.9144,0.4753
Bureau County,0.4069,0.5644,0.4057,0.1973,0.3544
Calhoun County,0.043,0.2297,0.0474,0.188,0.0541
Carroll County,0.3271,0.1133,0.3118,0.3519,0.2304
Cass County,0.3519,0.8148,0.6277,0.356,0.4998
Champaign County,0.4388,0.0395,0.7226,0.8269,0.4658
Christian County,0.2329,0.2173,0.1508,0.3509,0.1966
Clark County,0.1553,0.1642,0.015,0.1238,0.0745
Clay County,0.5196,0.8673,0.0407,0.5956,0.5813
Clinton County,0.0754,0.0951,0.2444,0.4664,0.1168
Coles County,0.6892,0.0566,0.2984,0.8941,0.5574
Cook County,0.7754,0.3926,0.9138,0.8298,0.7964
Crawford County,0.1709,0.1635,0.2587,0.4467,0.1919
Cumberland County,0.0347,0.1511,0.0191,0.0318,0.015
DeKalb County,0.5087,0.2329,0.6166,0.7604,0.5523
De Witt County,0.1941,0.0751,0.0881,0.0538,0.0493
Douglas County,0.447,0.4454,0.3322,0.5492,0.4578
DuPage County,0.1632,0.1667,0.7296,0.3579,0.2284
Edgar County,0.3067,0.3875,0.0099,0.6402,0.343
Edwards County,0.3789,0.8632,0.0299,0.1037,0.3058
Effingham County,0.0452,0.6032,0.0455,0.6169,0.2081
Fayette County,0.4391,0.6207,0.3118,0.7789,0.5644
Ford County,0.3449,0.5667,0.2536,0.4263,0.3824
Franklin County,0.6704,0.4948,0.0579,0.4025,0.4871
Fulton County,0.4343,0.0754,0.2109,0.2399,0.2106
Gallatin County,0.4572,0.8078,0.0932,0.3408,0.4521
Greene County,0.2043,0.3996,0.0099,0.0592,0.1044
Grundy County,0.0865,0.2043,0.4518,0.0891,0.0773
Hamilton County,0.4213,0.6507,0.0474,0.1794,0.3029
Hancock County,0.1285,0.5577,0.0474,0.0484,0.0885
Hardin County,0.1696,0.5301,0.0073,0.4588,0.2383
Henderson County,0.1543,0.1438,0.0821,0.0204,0.0391
Henry County,0.0916,0.447,0.3388,0.1339,0.126
Iroquois County,0.4092,0.6456,0.3388,0.0573,0.2673
Jackson County,0.8225,0.3452,0.6316,0.9863,0.8479
Jasper County,0.1352,0.3239,0.0115,0.1139,0.0875
Jefferson County,0.503,0.8164,0.4445,0.8406,0.7117
Jersey County,0.0541,0.1152,0.0407,0.0986,0.0318
Jo Daviess County,0.092,0.272,0.1276,0.1295,0.076
Johnson County,0.2969,0.3716,0.503,0.5259,0.3834
Kane County,0.4823,0.5033,0.8263,0.3427,0.5084
Kankakee County,0.5695,0.7206,0.6656,0.7652,0.7241
Kendall County,0.0694,0.4537,0.7251,0.0331,0.0996
Knox County,0.6074,0.4397,0.504,0.7731,0.644
Lake County,0.3086,0.3847,0.7941,0.6118,0.475
LaSalle County,0.301,0.5142,0.4588,0.4556,0.3894
Lawrence County,0.6039,0.4995,0.434,0.5533,0.5657
Lee County,0.2501,0.3745,0.4222,0.6332,0.3777
Livingston County,0.1842,0.5301,0.3248,0.5606,0.328
Logan County,0.1912,0.1409,0.3847,0.7238,0.2921
McDonough County,0.6672,0.0646,0.3847,0.8123,0.539
McHenry County,0.1403,0.2431,0.5472,0.041,0.0923
McLean County,0.1168,0.0573,0.552,0.6029,0.1903
Macon County,0.3971,0.511,0.6102,0.6755,0.5396
Macoupin County,0.2386,0.2561,0.0525,0.1009,0.1161
Madison County,0.2663,0.3175,0.4658,0.2625,0.2561
Marion County,0.567,0.721,0.2816,0.6204,0.6036
Marshall County,0.1467,0.2536,0.1572,0.0993,0.0894
Mason County,0.2568,0.1823,0.021,0.1409,0.1254
Massac County,0.5476,0.6389,0.3977,0.5444,0.5625
Menard County,0.0522,0.3834,0.0474,0.0162,0.0283
Mercer County,0.1419,0.2762,0.0932,0.048,0.064
Monroe County,0.0016,0.0465,0.0299,0.0083,0.001
Montgomery County,0.343,0.1492,0.1861,0.6382,0.3191
Morgan County,0.5052,0.3156,0.3563,0.6421,0.4935
Moultrie County,0.3926,0.4298,0.0229,0.8476,0.4827
Ogle County,0.2539,0.5982,0.4378,0.28,0.3131
Peoria County,0.5444,0.6446,0.6923,0.7041,0.6656
Perry County,0.4677,0.545,0.4057,0.8263,0.6001
Piatt County,0.0745,0.042,0.0299,0.0086,0.0045
Pike County,0.2988,0.8091,0.0337,0.1581,0.2771
Pope County,0.391,0.2657,0.3086,0.4114,0.3277
Pulaski County,0.5256,0.7111,0.749,0.5428,0.6357
Putnam County,0.014,0.2269,0.2536,0.0032,0.0048
Randolph County,0.3077,0.6322,0.3939,0.6869,0.4897
Richland County,0.189,0.8995,0.0881,0.5577,0.413
Rock Island County,0.5816,0.8482,0.6701,0.7385,0.7556
St. Clair County,0.4438,0.5902,0.7821,0.4505,0.532
Saline County,0.5934,0.7372,0.2109,0.7506,0.6557
Sangamon County,0.2437,0.4531,0.546,0.5978,0.4041
Schuyler County,0.4674,0.7719,0.2323,0.4238,0.4957
Scott County,0.0652,0.4976,0.0264,0.0455,0.0512
Shelby County,0.0935,0.259,0.0099,0.2953,0.1069
Stark County,0.2059,0.2351,0.1457,0.014,0.0579
Stephenson County,0.4668,0.6621,0.5119,0.4537,0.5218
Tazewell County,0.1075,0.1311,0.1572,0.3204,0.1085
Union County,0.6631,0.4378,0.265,0.7063,0.602
Vermilion County,0.5116,0.8231,0.5679,0.6904,0.6806
Wabash County,0.2294,0.7712,0.1928,0.6045,0.4209
Warren County,0.4661,0.7143,0.4973,0.4948,0.5441
Washington County,0.0885,0.1168,0.0379,0.0585,0.0347
Wayne County,0.4811,0.6468,0.0229,0.5772,0.4843
White County,0.4209,0.6577,0.0191,0.4193,0.3999
Whiteside County,0.2669,0.7652,0.4814,0.1661,0.3236
Will County,0.2062,0.3904,0.7706,0.1559,0.244
Williamson County,0.3038,0.6192,0.3388,0.4553,0.3948
Winnebago County,0.7502,0.8591,0.7127,0.5227,0.7728
Woodford County,0.0515,0.0795,0.0675,0.057,0.0175
Adams County,0.6411,0.2055,0.1654,0.7569,0.5355
Allen County,0.4426,0.699,0.6468,0.4435,0.5374
Bartholomew County,0.167,0.5492,0.5415,0.3484,0.287
Benton County,0.3738,0.9074,0.2587,0.0678,0.3369
Blackford County,0.6748,0.5972,0.0675,0.2975,0.4801
Boone County,0.0251,0.2526,0.3446,0.0366,0.0331
Brown County,0.2055,0.3261,0.0544,0.2542,0.1712
Carroll County,0.2097,0.2084,0.1753,0.0458,0.0821
Cass County,0.4528,0.8479,0.5797,0.3961,0.5587
Clark County,0.2654,0.4171,0.504,0.3411,0.3093
Clay County,0.1444,0.4496,0.0675,0.2873,0.1718
Clinton County,0.335,0.587,0.5202,0.2094,0.3443
Crawford County,0.5899,0.1247,0.0407,0.3449,0.3124
Daviess County,0.5304,0.4136,0.328,0.9077,0.6239
Dearborn County,0.0662,0.1241,0.0337,0.071,0.0312
Decatur County,0.0725,0.0229,0.1094,0.0659,0.0159
DeKalb County,0.1667,0.2138,0.0821,0.2934,0.1384
Delaware County,0.7226,0.2116,0.413,0.7903,0.6309
Dubois County,0.0697,0.461,0.335,0.3067,0.1619
Elkhart County,0.7245,0.7852,0.6287,0.819,0.8132
Fayette County,0.7022,0.8454,0.1037,0.4703,0.6293
Floyd County,0.1333,0.412,0.3888,0.2641,0.1915
Fountain County,0.4629,0.7318,0.0821,0.0795,0.2924
Franklin County,0.0872,0.2335,0.015,0.3996,0.1199
Fulton County,0.6577,0.6293,0.2854,0.3802,0.5415
Gibson County,0.0986,0.3548,0.2536,0.616,0.2342
Grant County,0.6965,0.6666,0.4537,0.8683,0.7649
Greene County,0.6491,0.5514,0.0299,0.5332,0.5275
Hamilton County,0.0064,0.2682,0.5081,0.034,0.0302
Hancock County,0.0598,0.1085,0.2781,0.0178,0.0185
Harrison County,0.1117,0.09,0.0544,0.3815,0.1009
Hendricks County,0.0334,0.2819,0.5148,0.168,0.0904
Henry County,0.3414,0.3121,0.1696,0.4521,0.3045
Howard County,0.4193,0.7238,0.4604,0.28,0.4505
Huntington County,0.1766,0.2052,0.1152,0.2428,0.1362
Jackson County,0.3134,0.5956,0.4057,0.5972,0.4556
Jasper County,0.0939,0.4489,0.342,0.0659,0.1005
Jay County,0.5762,0.5749,0.0881,0.3964,0.4626
Jefferson County,0.4633,0.531,0.2062,0.8848,0.5832
Jennings County,0.4645,0.497,0.0932,0.308,0.3573
Johnson County,0.1451,0.1645,0.3977,0.1387,0.1117
Knox County,0.2953,0.7938,0.265,0.6561,0.497
Kosciusko County,0.314,0.5797,0.3917,0.4311,0.3926
LaGrange County,0.4251,0.4782,0.1152,0.4862,0.3961
Lake County,0.6258,0.7824,0.8549,0.4731,0.7031
LaPorte County,0.4295,0.4155,0.5667,0.615,0.5046
Lawrence County,0.2529,0.3866,0.0757,0.574,0.2981
Madison County,0.5619,0.6643,0.4636,0.5689,0.5985
Marion County,0.8132,0.7814,0.8565,0.6287,0.826
Marshall County,0.4648,0.4617,0.3939,0.4473,0.4493
Martin County,0.1909,0.1228,0.0675,0.4365,0.1613
Miami County,0.5021,0.2479,0.3748,0.4038,0.3904
Monroe County,0.5619,0.0076,0.4779,0.8877,0.4302
Montgomery County,0.3948,0.6475,0.2816,0.4846,0.455
Morgan County,0.1521,0.1712,0.0675,0.0566,0.0538
Newton County,0.566,0.7331,0.3388,0.0226,0.3229
Noble County,0.3828,0.5883,0.4085,0.7502,0.5418
Ohio County,0.0869,0.4031,0.0579,0.4785,0.1734
Orange County,0.4601,0.8384,0.1339,0.692,0.5791
Owen County,0.574,0.188,0.0299,0.1241,0.238
Parke County,0.7038,0.2307,0.0757,0.9472,0.6424
Perry County,0.2084,0.0426,0.1457,0.9682,0.3182
Pike County,0.1056,0.0436,0.0264,0.1944,0.0465
Porter County,0.1473,0.1152,0.5148,0.2218,0.1374
Posey County,0.0331,0.0439,0.0525,0.0547,0.0092
Pulaski County,0.4257,0.5711,0.1753,0.3573,0.3866
Putnam County,0.1129,0.0554,0.2364,0.6134,0.1502
Randolph County,0.4321,0.881,0.2164,0.4101,0.5113
Ripley County,0.2017,0.1654,0.0544,0.5447,0.2062
Rush County,0.5791,0.1604,0.0525,0.0843,0.2125
St. Joseph County,0.5167,0.5358,0.6567,0.6882,0.6134
Scott County,0.6723,0.5052,0.0983,0.6662,0.5807
Shelby County,0.2641,0.3427,0.2364,0.4528,0.2832
Spencer County,0.0665,0.1063,0.1037,0.097,0.0369
Starke County,0.4658,0.4413,0.2109,0.1355,0.2829
Steuben County,0.2297,0.0538,0.1753,0.4582,0.1651
Sullivan County,0.4992,0.5476,0.2536,0.7887,0.574
Switzerland County,0.6379,0.7432,0.0757,0.5514,0.5886
Tippecanoe County,0.5107,0.0477,0.6211,0.8594,0.5087
Tipton County,0.1849,0.0617,0.0821,0.0325,0.0382
Union County,0.3169,0.1903,0.0757,0.0267,0.0897
Vanderburgh County,0.5415,0.4518,0.4948,0.636,0.5612
Vermillion County,0.3777,0.7626,0.0264,0.3598,0.391
Vigo County,0.776,0.3185,0.434,0.8711,0.7286
Wabash County,0.1775,0.1947,0.1276,0.2905,0.147
Warren County,0.0646,0.1849,0.0544,0.0477,0.0315
Warrick County,0.0099,0.2084,0.2587,0.0465,0.0194
Washington County,0.4594,0.4696,0.0229,0.3268,0.3382
Wayne County,0.7035,0.9084,0.377,0.63,0.7515
Wells County,0.064,0.293,0.1457,0.0878,0.0531
White County,0.2851,0.6058,0.3484,0.0773,0.2221
Whitley County,0.1588,0.2014,0.1339,0.0732,0.0735
Adair County,0.1133,0.1861,0.0881,0.0872,0.0554
Adams County,0.1257,0.3484,0.0821,0.1098,0.091
Allamakee County,0.1505,0.5982,0.3166,0.2269,0.2164
Appanoose County,0.6634,0.3783,0.1094,0.3738,0.4547
Audubon County,0.0846,0.3843,0.0579,0.0706,0.0611
Benton County,0.0092,0.125,0.0474,0.0283,0.007
Black Hawk County,0.4308,0.441,0.5383,0.7992,0.5667
Boone County,0.0204,0.0321,0.1152,0.252,0.0255
Bremer County,0.0045,0.0894,0.1225,0.1766,0.021
Buchanan County,0.077,0.2549,0.0407,0.1537,0.0655
Buena Vista County,0.4123,0.6055,0.8263,0.7366,0.6258
Butler County,0.0827,0.1747,0.0407,0.0375,0.0325
Calhoun County,0.036,0.3398,0.1696,0.2593,0.092
Carroll County,0.0344,0.2736,0.1409,0.2819,0.0815
Cass County,0.2609,0.3738,0.0881,0.2704,0.2144
Cedar County,0.0146,0.0694,0.0675,0.0496,0.0089
Cerro Gordo County,0.0738,0.14,0.314,0.4531,0.1343
Cherokee County,0.1002,0.2103,0.265,0.4318,0.1546
Chickasaw County,0.0582,0.3961,0.0544,0.0436,0.0433
Clarke County,0.6262,0.9141,0.552,0.8371,0.8107
Clay County,0.14,0.7407,0.1985,0.1199,0.1826
Clayton County,0.2883,0.6048,0.0407,0.2981,0.2752
Clinton County,0.2949,0.6281,0.2914,0.3446,0.3446
Crawford County,0.5231,0.979,0.7448,0.5186,0.7563
Dallas County,0.0121,0.2186,0.4814,0.1394,0.0515
Davis County,0.4508,0.5329,0.0337,0.6437,0.4585
Decatur County,0.5234,0.1705,0.2364,0.8705,0.524
Delaware County,0.0309,0.0805,0.0379,0.1406,0.0248
Des Moines County,0.2192,0.7967,0.4273,0.4655,0.4174
Dickinson County,0.0296,0.3395,0.1152,0.1505,0.055
Dubuque County,0.1422,0.2148,0.3058,0.5762,0.2281
Emmet County,0.1887,0.6338,0.4699,0.1791,0.2494
Fayette County,0.3583,0.2851,0.2294,0.1629,0.2179
Floyd County,0.0802,0.2542,0.3086,0.2501,0.1196
Franklin County,0.2797,0.6487,0.4613,0.0414,0.2132
Fremont County,0.0337,0.1896,0.1508,0.0124,0.0146
Greene County,0.104,0.6214,0.1572,0.2125,0.1664
Grundy County,0.0029,0.0948,0.0379,0.0216,0.0029
Guthrie County,0.0484,0.1203,0.1094,0.0353,0.0178
Hamilton County,0.0862,0.4146,0.3675,0.1712,0.1289
Hancock County,0.0401,0.3392,0.2294,0.1467,0.0713
Hardin County,0.119,0.2825,0.2399,0.3061,0.1514
Harrison County,0.049,0.0643,0.0474,0.2024,0.0388
Henry County,0.1174,0.4967,0.3847,0.273,0.2001
Howard County,0.1282,0.2024,0.0474,0.1645,0.0846
Humboldt County,0.0815,0.8285,0.2265,0.1868,0.1941
Ida County,0.0496,0.1995,0.1457,0.0999,0.0445
Iowa County,0.0261,0.3245,0.1457,0.1228,0.0484
Jackson County,0.1225,0.0999,0.0627,0.2265,0.078
Jasper County,0.1693,0.4423,0.1985,0.3134,0.2078
Jefferson County,0.5339,0.5463,0.4683,0.9001,0.6774
Johnson County,0.3408,0.0213,0.5829,0.8855,0.3863
Jones County,0.0471,0.342,0.1985,0.2873,0.1082
Keokuk County,0.1623,0.5542,0.0264,0.0095,0.0633
Kossuth County,0.085,0.7168,0.1696,0.3099,0.203
Lee County,0.2504,0.4114,0.2781,0.336,0.2631
Linn County,0.1009,0.2984,0.4588,0.3999,0.1944
Louisa County,0.2106,0.5393,0.5679,0.2113,0.2676
Lucas County,0.3239,0.7302,0.0544,0.3328,0.3458
Lyon County,0.0105,0.2965,0.0675,0.0881,0.0286
Madison County,0.006,0.0869,0.0821,0.0194,0.0035
Mahaska County,0.099,0.5161,0.182,0.2488,0.1575
Marion County,0.0248,0.2784,0.1094,0.4375,0.099
Marshall County,0.4149,0.6841,0.7003,0.8645,0.6799
Mills County,0.07,0.3054,0.1276,0.1709,0.0811
Mitchell County,0.1028,0.3433,0.0169,0.1362,0.085
Monona County,0.0999,0.4066,0.0983,0.1234,0.0951
Monroe County,0.0932,0.1018,0.0675,0.5002,0.1203
Montgomery County,0.1744,0.5406,0.2062,0.0869,0.1432
Muscatine County,0.2173,0.8212,0.6077,0.5329,0.4792
O'Brien County,0.1234,0.6026,0.2733,0.784,0.3681
Osceola County,0.2593,0.776,0.3939,0.0665,0.251
Page County,0.3904,0.4327,0.265,0.4623,0.3878
Palo Alto County,0.0745,0.371,0.2536,0.3188,0.1422
Plymouth County,0.015,0.4664,0.3016,0.1158,0.0624
Pocahontas County,0.2631,0.4836,0.2323,0.0417,0.1476
Polk County,0.2431,0.5947,0.5994,0.595,0.4477
Pottawattamie County,0.2864,0.7448,0.4085,0.6312,0.4944
Poweshiek County,0.2132,0.0665,0.2364,0.6946,0.2348
Ringgold County,0.1018,0.7556,0.0821,0.3261,0.2176
Sac County,0.0605,0.1941,0.1152,0.1814,0.0614
Scott County,0.1896,0.482,0.5581,0.4534,0.3252
Shelby County,0.0783,0.1193,0.1654,0.036,0.029
Sioux County,0.0509,0.2625,0.4057,0.3458,0.1311
Story County,0.4521,0.001,0.4839,0.6974,0.2364
Tama County,0.35,0.7292,0.5476,0.293,0.4384
Taylor County,0.1187,0.567,0.3503,0.0741,0.1292
Union County,0.3233,0.5991,0.1339,0.4887,0.3767
Van Buren County,0.5724,0.4292,0.0229,0.2424,0.3608
Wapello County,0.6478,0.922,0.5383,0.728,0.7852
Warren County,0.0137,0.2389,0.1654,0.3761,0.0741
Washington County,0.0948,0.6548,0.3016,0.1034,0.1397
Wayne County,0.3105,0.8626,0.0881,0.405,0.4168
Webster County,0.2039,0.2844,0.4273,0.6977,0.3439
Winnebago County,0.0286,0.6258,0.2914,0.2832,0.1403
Winneshiek County,0.0337,0.0821,0.0735,0.3423,0.0522
Woodbury County,0.4804,0.8766,0.6752,0.7276,0.7197
Worth County,0.0585,0.0802,0.1037,0.0675,0.0232
Wright County,0.1464,0.9742,0.4814,0.2351,0.3971
Allen County,0.5702,0.6433,0.3217,0.6115,0.5854
Anderson County,0.5854,0.7595,0.1928,0.105,0.4085
Atchison County,0.3859,0.3535,0.3824,0.7181,0.4728
Barber County,0.42,0.7531,0.3847,0.476,0.5107
Barton County,0.5562,0.9847,0.5269,0.3716,0.7006
Bourbon County,0.4057,0.707,0.328,0.5647,0.5126
Brown County,0.3188,0.3258,0.5183,0.0544,0.1893
Butler County,0.0818,0.2173,0.3917,0.2927,0.1295
