County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Cochise County,0.7121,0.9574,0.8473,0.9714,0.9325
Coconino County,0.8097,0.0595,0.8533,0.9917,0.8031
Gila County,0.8466,0.6131,0.7668,0.8352,0.847
Graham County,0.7,0.6596,0.8702,0.9513,0.8486
Greenlee County,0.0974,0.6726,0.8934,0.4407,0.3598
La Paz County,0.9236,0.9701,0.818,0.5775,0.9195
Maricopa County,0.6201,0.5705,0.8521,0.6907,0.713
Mohave County,0.8285,0.8419,0.5994,0.762,0.8489
Navajo County,0.8902,0.9863,0.9103,0.9446,0.9806
Pima County,0.7493,0.7356,0.8711,0.9663,0.888
Pinal County,0.6347,0.8374,0.833,0.7521,0.797
Santa Cruz County,0.987,0.9395,0.9879,0.4092,0.9383
Yavapai County,0.5752,0.5488,0.546,0.6026,0.5991
Yuma County,0.9819,0.9736,0.9612,0.98,0.9978
Arkansas County,0.6787,0.5078,0.6901,0.7585,0.7226
Ashley County,0.8171,0.9262,0.6971,0.5062,0.8237
Baxter County,0.6131,0.3618,0.2109,0.3366,0.4333
Benton County,0.182,0.5892,0.7286,0.3115,0.3268
Boone County,0.4053,0.4563,0.1508,0.1674,0.2647
Bradley County,0.8778,0.895,0.8365,0.6901,0.8864
Calhoun County,0.5205,0.6545,0.6487,0.2307,0.4967
Carroll County,0.6618,0.6608,0.6287,0.4722,0.6421
Chicot County,0.98,0.9866,0.9243,0.9889,0.9987
Clark County,0.6583,0.5422,0.6971,0.9908,0.8339
Clay County,0.7168,0.5135,0.0932,0.1101,0.3929
Cleburne County,0.5406,0.4792,0.1861,0.1785,0.3532
Cleveland County,0.1782,0.6888,0.4537,0.2574,0.286
Columbia County,0.5192,0.6596,0.7929,0.9163,0.7598
Conway County,0.6879,0.9634,0.5218,0.427,0.7461
Craighead County,0.7369,0.8836,0.6316,0.7824,0.8342
Crawford County,0.6822,0.9532,0.5011,0.4944,0.7531
Crittenden County,0.9345,0.8368,0.9192,0.7461,0.9205
Cross County,0.9128,0.9504,0.6402,0.7801,0.9227
Dallas County,0.3366,0.6179,0.8603,0.9421,0.6885
Desha County,0.9173,0.999,0.9007,0.7369,0.9749
Drew County,0.4028,0.8263,0.7245,0.9548,0.7668
Faulkner County,0.4585,0.2071,0.5444,0.8266,0.5326
Franklin County,0.6688,0.6678,0.3446,0.5317,0.6198
Fulton County,0.72,0.7,0.1572,0.6262,0.6535
Garland County,0.713,0.9723,0.5161,0.8326,0.8661
Grant County,0.154,0.4588,0.2399,0.223,0.1852
Greene County,0.7932,0.6898,0.2692,0.5654,0.6917
Hempstead County,0.748,0.9914,0.8508,0.6927,0.8998
