FID,sky,tree,road,grass,person,earth,wall,fence,building,plant,car,signboard,awning,streetlight,sidewalk,ashcan,water,mountain,van,bicycle,bridge,railing,column,chair,minibike,fountain,sculpture,pier,booth,ceiling,lake,windowpane,skyscraper,lamp,sofa,bulletin board,desk,glass
zzy-222@628-nqv-ks5_0_08008,0.342288,0.006614,0.006367,0.0,0.0,0.215781,5.6e-05,0.000225,0.239026,0.177642,0.006582,0.0,0.0,0.0,0.002361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nqv-ks5_180_08008,0.347942,0.091719,0.365784,0.0,0.0,0.021216,0.0,0.0,0.094556,0.004573,0.038647,0.001189,0.0,3.9e-05,0.03407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nqv-ks5_270_08008,0.441248,0.000686,0.401597,0.0,0.0,0.042571,0.0,0.0,0.048271,0.010515,0.004104,0.0,0.0,0.000115,0.001416,0.000437,0.0,0.000371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nqv-ks5_90_08008,0.435713,0.014363,0.289402,0.006797,0.000332,0.036653,0.002151,5.4e-05,0.068135,0.099639,0.005327,6.6e-05,0.0,1.7e-05,0.018394,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nxn-xbk_0_08008,0.453984,0.013154,0.405552,1e-05,0.0,0.017717,0.000325,0.031743,0.030215,0.000667,0.013369,9.5e-05,0.0,0.000181,0.001433,0.0,0.0,0.0,0.000869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nxn-xbk_180_08008,0.451997,0.035669,0.388779,0.0,0.0,0.005339,0.0,0.0,0.027468,0.0,0.060017,0.0,0.0,9.3e-05,0.027534,0.0,0.0,0.0,0.000986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nxn-xbk_270_08008,0.390403,0.012478,0.412666,0.0,0.0,0.0,0.0,0.0,0.131101,0.0,0.017913,0.001729,0.0,0.0,0.028647,0.000151,0.0,0.0,0.003599,0.001174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-nxn-xbk_90_08008,0.442563,0.009221,0.432966,0.0,0.0,0.006899,0.0,0.0,0.075503,0.000847,0.014053,0.0,0.0,0.002263,0.007393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-ph5-g49_0_19072,0.176731,0.322595,0.393811,0.051418,0.0,0.000103,0.0,0.0,0.017683,0.011912,0.000447,0.003159,0.0,0.0,0.021445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-ph5-g49_180_19072,0.271218,0.252969,0.3774,0.031833,0.0,0.0,0.0,0.005427,0.028127,0.014849,0.005383,0.00218,0.0,0.0,0.010613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
